"alpha100","alpha250","alpha500","alpha1000"
0.99999999,0.57677574500342,0.858865426215265,0.951220972706751
0.99999999,0.904533130970815,0.99999999,0.88435232304746
0.982922186363993,0.975763891356061,0.803150794690679,0.979957597465745
0.940277843482958,0.68581497737742,0.969863483296378,0.830764876343174
0.319131471294147,0.99999999,0.930859810480287,0.863685385464669
0.99999999,0.962243553194247,0.974582277183144,0.99999999
0.564598459936205,0.99999999,0.995140775864876,0.99999999
0.99999999,0.958468892893592,0.819829265184053,0.791433681837374
0.630664876933236,0.881465238418291,0.909147990782374,0.804121418286204
0.452497332881314,0.948591545851101,0.958414330908571,0.99999999
0.896716546526999,0.99999999,0.948998293700031,0.890329316532834
0.73174638362974,0.99999999,0.944440078918724,0.99999999
0.99999999,0.967584417063199,0.99999999,0.99999999
0.751321259621065,0.784733611988424,0.99999999,0.918633187464376
0.812427417233338,0.936254991551723,0.695002823198979,0.99999999
0.808195057675556,0.930230885273239,0.899961755512718,0.919170421613701
0.901027656257044,0.767870280240739,0.834511418980188,0.944767113160337
0.95255067959421,0.791307824351101,0.94088776757569,0.834846954256259
0.655765312424021,0.960579586008141,0.939506176524235,0.99999999
0.598615972184661,0.874355462063024,0.770365947185148,0.860720196926028
0.956115900044208,0.914725045155336,0.845401651888212,0.99999999
0.99999999,0.689126178761201,0.845181814313831,0.933640891994718
0.99999999,0.529296857090872,0.897441418030535,0.859761460516706
0.99999999,0.882307643304827,0.811708329851018,0.879056846945956
0.96670196926399,0.823658695700188,0.805571436451877,0.912012365188597
0.99999999,0.920401340517525,0.99999999,0.99999999
0.0874368293828613,0.677219589807614,0.985733803434225,0.946595593789526
0.722361705423712,0.880714749427572,0.89773259186669,0.99999999
0.626997000301462,0.754819460176633,0.855057979205144,0.955684305282223
0.98979982520537,0.820636356566593,0.99999999,0.99999999
0.984565647857387,0.854861673251439,0.814686318919938,0.833569449521689
0.384806804466279,0.73129324079783,0.906539096283628,0.976222915598523
0.535885640640692,0.736104818037064,0.854199006348253,0.85769853123352
0.99999999,0.867931894515107,0.850482336075156,0.747588038899535
0.99999999,0.809355286175007,0.967489840801895,0.99999999
0.99999999,0.806061998874481,0.869920779879815,0.940451500337767
0.52980993010117,0.972694682723503,0.837713232010329,0.914456902400075
0.99999999,0.809217095827506,0.986550540701687,0.886981112557599
0.269696968839328,0.791385477303337,0.99999999,0.945954120961676
0.785905936133242,0.825002176052545,0.703282199461995,0.808210981940817
0.99999999,0.71063069483435,0.99999999,0.821483917951722
0.668989843803363,0.793542402692886,0.833427768213075,0.824255259832808
0.99999999,0.873920959851244,0.949980431199495,0.986545106723445
0.624871679736661,0.666658314946222,0.84772709677735,0.911461047037451
0.814033863587999,0.99999999,0.665112388449062,0.969505619093513
0.756030271770803,0.765364386690261,0.978493927067018,0.91871009118514
0.719963766375521,0.824698641932303,0.853512337873319,0.925080142334709
0.77296963688808,0.868769724874438,0.87656815874782,0.967415504120815
0.99999999,0.875799536443037,0.833359394761592,0.96129978607728
0.693712789810534,0.92518881625397,0.90814258873184,0.997636244022544
0.99999999,0.99999999,0.974518503435081,0.790099269753889
0.817474630337504,0.921899231640846,0.650183399937247,0.828836698954299
0.400003087238904,0.99999999,0.818370988309843,0.908853702111873
0.929187875543184,0.99999999,0.870163587574728,0.749434090874368
0.92187134561397,0.99999999,0.835110660291114,0.839673005129175
0.99999999,0.938434857327541,0.99999999,0.901895005085103
0.99999999,0.842858872987843,0.893501882892575,0.798334075145424
0.99999999,0.99999999,0.767518469221688,0.731584708631898
0.802362603150116,0.780638558657721,0.758049493507486,0.99999999
0.942528198875548,0.99999999,0.957782739460117,0.855954967038303
0.654927760908741,0.861961818219782,0.836201221817296,0.852209121504028
0.515093410499149,0.691473807189095,0.975962511717634,0.815926180103961
0.574779405855177,0.920662767047863,0.960217829377027,0.991667970770989
0.804775919838369,0.645887989558716,0.775680930800898,0.994490826502554
0.560854278747593,0.99999999,0.99999999,0.822263063655196
0.913934311425048,0.933104810367068,0.848479627893751,0.953508063354636
0.317228942280186,0.81647483489801,0.941015385879639,0.967931911970144
0.558022246907469,0.627510313002555,0.623881302740446,0.942594565495279
0.99999999,0.99999999,0.991970191064978,0.874791087836943
0.741768554998287,0.937477824138752,0.888437576973994,0.834303800248607
0.99999999,0.782358422999234,0.965553251948824,0.869098721536277
0.795055344964182,0.99999999,0.99999999,0.920988521654462
0.988299284297549,0.99999999,0.997482562948852,0.787699247056253
0.99999999,0.766877296828209,0.99999999,0.929141534050786
0.933178331174066,0.688387935006033,0.99999999,0.835627701806281
0.983702601430199,0.687623031748388,0.99999999,0.818225836013607
0.897410789773068,0.696391809470648,0.659159945533716,0.936405716880032
0.99999999,0.738545101165691,0.929241988098766,0.843370356430269
0.761174798322316,0.827052608440305,0.967741565089213,0.912930960670831
0.859631977701924,0.952257510166646,0.673929724579395,0.847802012404579
0.99999999,0.99999999,0.906213858678129,0.926277664706396
